��Ʊ����,2022�������ROE
002942.SZ,7.6098
000012.SZ,7.6362
601126.SH,7.6433
603668.SH,7.6695
605158.SH,7.6909
688617.SH,7.6922
600696.SH,7.7086
600298.SH,7.7245
301028.SZ,7.7278
600970.SH,7.7449
603298.SH,7.7631
300041.SZ,7.7853
002984.SZ,7.8314
300610.SZ,7.8437
300643.SZ,7.851
002287.SZ,7.8696
002705.SZ,7.8906
688268.SH,7.9027
603987.SH,7.9195
605183.SH,7.9291
000833.SZ,7.9349
601009.SH,7.9806
002897.SZ,8.0266
603187.SH,8.0491
601319.SH,8.0591
603600.SH,8.087
603155.SH,8.0932
300568.SZ,8.1317
300341.SZ,8.1572
300911.SZ,8.2237
603506.SH,8.2369
002078.SZ,8.2654
688401.SH,8.2707
300438.SZ,8.2926
601928.SH,8.3002
600988.SH,8.3081
002643.SZ,8.3131
002595.SZ,8.3729
605138.SH,8.4178
000062.SZ,8.4607
300494.SZ,8.4854
300856.SZ,8.5023
000526.SZ,8.522
002805.SZ,8.5251
600521.SH,8.5407
300286.SZ,8.5448
300532.SZ,8.5511
002080.SZ,8.5657
688063.SH,8.5719
603408.SH,8.5969
600549.SH,8.5974
601866.SH,8.6282
000810.SZ,8.6385
300852.SZ,8.6867
601016.SH,8.6917
600121.SH,8.7121
301012.SZ,8.7193
600660.SH,8.7414
603181.SH,8.7477
600885.SH,8.7781
688301.SH,8.7976
600929.SH,8.8099
300833.SZ,8.8109
603959.SH,8.8117
605365.SH,8.8131
688356.SH,8.8159
601568.SH,8.8184
002129.SZ,8.824
600064.SH,8.8273
300837.SZ,8.8444
300487.SZ,8.8633
300815.SZ,8.8668
301099.SZ,8.8709
002262.SZ,8.9154
600750.SH,8.9219
600057.SH,8.9821
603338.SH,9.0007
600452.SH,9.0119
600690.SH,9.0216
002050.SZ,9.0231
600595.SH,9.0447
603129.SH,9.0476
002749.SZ,9.0771
600997.SH,9.1064
002538.SZ,9.1148
002222.SZ,9.1286
002761.SZ,9.1368
002039.SZ,9.1724
300452.SZ,9.1773
002993.SZ,9.1843
300395.SZ,9.1989
300820.SZ,9.2433
603676.SH,9.2704
605166.SH,9.2821
301118.SZ,9.2995
603088.SH,9.3432
002312.SZ,9.3985
300160.SZ,9.4135
000885.SZ,9.4176
002318.SZ,9.4295
688122.SH,9.46
603855.SH,9.4923
600760.SH,9.494
002179.SZ,9.4953
002789.SZ,9.5298
603871.SH,9.5327
603259.SH,9.5566
603203.SH,9.5767
002430.SZ,9.588
601872.SH,9.6608
002056.SZ,9.6929
603816.SH,9.7238
605080.SH,9.7396
600731.SH,9.7682
002986.SZ,9.7705
600845.SH,9.8037
003013.SZ,9.8156
300765.SZ,9.8524
603456.SH,9.9352
600248.SH,9.9417
002290.SZ,9.9446
300073.SZ,9.9456
688077.SH,9.9741
605099.SH,9.9919
603300.SH,10.027
603678.SH,10.0539
300196.SZ,10.108
002979.SZ,10.1121
002275.SZ,10.1439
603619.SH,10.1834
003019.SZ,10.2274
688621.SH,10.2723
600732.SH,10.3043
688668.SH,10.3099
688123.SH,10.3586
002556.SZ,10.3944
838171.BJ,10.3972
603639.SH,10.4716
600285.SH,10.4724
600470.SH,10.4855
300453.SZ,10.5284
603277.SH,10.5332
300726.SZ,10.5493
002543.SZ,10.6054
600976.SH,10.6101
300124.SZ,10.6119
688779.SH,10.6292
688019.SH,10.7275
300373.SZ,10.7476
603217.SH,10.7555
002950.SZ,10.7761
300003.SZ,10.8082
300201.SZ,10.8403
601088.SH,10.8569
603067.SH,10.862
002801.SZ,10.8727
603219.SH,10.9001
600600.SH,10.9067
300705.SZ,10.9276
000902.SZ,10.9717
603970.SH,11.0101
300101.SZ,11.0889
000708.SZ,11.1851
002003.SZ,11.1984
300896.SZ,11.2022
835640.BJ,11.2319
002603.SZ,11.2423
300699.SZ,11.2521
600236.SH,11.2884
603968.SH,11.2892
300009.SZ,11.4098
601168.SH,11.5727
000895.SZ,11.841
603612.SH,11.903
603659.SH,12.0161
600777.SH,12.1742
301004.SZ,12.2224
603227.SH,12.2577
000333.SZ,12.3296
600598.SH,12.3963
002821.SZ,12.4929
603071.SH,12.5447
603688.SH,12.5512
002690.SZ,12.5585
601012.SH,12.7089
000629.SZ,12.8108
603195.SH,12.8651
600481.SH,13.0515
002011.SZ,13.1039
603529.SH,13.2754
600985.SH,13.2917
002810.SZ,13.4426
600989.SH,13.5122
002136.SZ,13.593
833819.BJ,13.6182
000807.SZ,13.6849
300586.SZ,13.7177
300121.SZ,13.8426
002125.SZ,14.1394
605369.SH,14.4203
600392.SH,14.4537
300763.SZ,14.6787
603355.SH,14.8719
600063.SH,14.8925
300593.SZ,14.8927
300861.SZ,15.0451
688385.SH,15.1885
603444.SH,15.2617
600089.SH,15.2875
000733.SZ,15.5205
603329.SH,15.6036
601699.SH,15.6893
603599.SH,15.9484
002517.SZ,15.9767
601899.SH,16.194
300628.SZ,16.2622
605499.SH,16.5604
600328.SH,17.0664
688556.SH,18.3909
601666.SH,19.0545
002539.SZ,19.1968
300760.SZ,19.3817
000571.SZ,19.545
000762.SZ,19.6175
000893.SZ,20.7028
000983.SZ,22.1565
301071.SZ,22.2379
603908.SH,22.2887
000408.SZ,22.3099
600873.SH,22.3654
600112.SH,23.0498
600188.SH,23.7094
301060.SZ,24.8714
600331.SH,25.7333
300363.SZ,26.6085
603185.SH,26.7366
600499.SH,27.4296
300244.SZ,27.6598
600438.SH,29.4879
002497.SZ,29.5272
002668.SZ,29.8346
002460.SZ,30.856
